observ;barrio;calle;altura;institu1;institu3;distanci;edpub;estserv;banco;totrob;mes
561;V. Crespo;Ferrari;a400;0;0;3;0;0;0;0;4
580;V. Crespo;Galicia;a400;0;0;5;0;0;0;0;4
588;V. Crespo;R. E. de San Mart;a400;0;0;4;0;0;0;0;4
583;V. Crespo;Tres Arroyos;a400;0;0;4;0;0;0;0;4
558;V. Crespo;Angel Gallardo;a1000;0;0;5;0;0;0;0;4
589;V. Crespo;Honorio Pueyrredo;a1100;0;0;4;0;0;0;0;4
597;V. Crespo;Valentin Virasoro;a1100;0;0;4;0;0;0;0;4
474;V. Crespo;J. B. Justo;a3200;0;0;4;0;0;0;0;4
586;V. Crespo;Belaustegui;a400;0;0;4;0;0;0;0;4
576;V. Crespo;Luis Viale;a400;0;0;5;0;0;0;0;4
591;V. Crespo;Honorio Pueyrredo;a1300;0;0;5;0;0;0;0;4
603;V. Crespo;Valentin Virasoro;a1700;0;0;4;0;0;0;0;4
604;V. Crespo;Valentin Virasoro;a1800;0;0;4;0;0;0;0;4
605;V. Crespo;Valentin Virasoro;a1900;0;0;4;0;0;0;0;4
602;V. Crespo;Valentin Virasoro;a1600;0;0;4;0;0;0;0;4
599;V. Crespo;Valentin Virasoro;a1300;0;0;3;0;1;0;0;4
598;V. Crespo;Valentin Virasoro;a1200;0;0;3;0;0;0;0;4
601;V. Crespo;Valentin Virasoro;a1500;0;0;5;0;0;0;0;4
600;V. Crespo;Valentin Virasoro;a1400;0;0;4;0;0;0;0;4
649;V. Crespo;Padilla;a700;0;1;1;0;0;0;0;4
643;V. Crespo;Murillo;a1000;0;0;2;0;0;0;0;4
650;V. Crespo;Padilla;a800;0;1;1;0;0;0;0;4
469;V. Crespo;J. B. Justo;a2700;0;0;2;0;0;0;0;4
612;V. Crespo;Olaya;a1700;0;0;3;0;0;0;0;4
661;V. Crespo;Camargo;a800;1;1;0;0;0;0;0;4
660;V. Crespo;Camargo;a700;0;1;1;0;0;0;0;4
475;V. Crespo;Thames;a0-100;0;0;2;0;0;0;0;4
651;V. Crespo;Padilla;a900;1;1;0;0;0;0;0;4
627;V. Crespo;Acoyte;a1600;0;0;2;0;0;0;0;4
479;V. Crespo;Thames;a400;0;0;2;0;1;0;0;4
636;V. Crespo;Munecas;a900;0;1;1;0;0;0;0;4
662;V. Crespo;Camargo;a900;0;1;1;0;0;0;0;4
641;V. Crespo;Murillo;a800;0;0;2;0;0;0;0;4
634;V. Crespo;Munecas;a700;0;0;2;0;0;0;0;4
527;V. Crespo;Mahatma Gandhi;a300;0;0;2;0;0;0;0;4
620;V. Crespo;Hidalgo;a1700;0;0;2;0;0;0;0;4
526;V. Crespo;Mahatma Gandhi;a200;0;0;3;0;0;0;0;4
613;V. Crespo;Olaya;a1800;0;0;3;0;0;0;0;4
663;V. Crespo;Camargo;a1000;0;0;2;0;1;0;0;4
584;V. Crespo;Belaustegui;a200;0;0;2;0;0;0;0;4
722;V. Crespo;Warnes;a800;0;1;1;0;0;0;0;4
587;V. Crespo;R. E. de San Mart;a300;0;0;3;0;0;0;0;4
530;V. Crespo;Mahatma Gandhi;a600;0;0;3;0;0;0;0;4
470;V. Crespo;J. B. Justo;a2800;0;0;2;0;0;0;0;4
582;V. Crespo;Tres Arroyos;a300;0;0;3;0;0;0;0;4
493;V. Crespo;Gurruchaga;a200;0;1;1;0;0;0;0;4
492;V. Crespo;Gurruchaga;a100;0;0;2;0;0;0;0;4
484;V. Crespo;Serrano;a100;0;1;1;0;0;0;0;4
485;V. Crespo;Serrano;a200;0;1;1;0;0;0;0;4
528;V. Crespo;Mahatma Gandhi;a400;0;0;2;0;0;0;0;4
477;V. Crespo;Thames;a200;0;1;1;0;0;0;0;4
487;V. Crespo;Serrano;a400;0;1;1;0;0;0;0;4
635;V. Crespo;Munecas;a800;0;1;1;0;0;0;0;4
637;V. Crespo;Munecas;a1000;0;0;2;0;1;0;0;4
720;V. Crespo;Warnes;a600;0;0;2;0;0;0;0;4
468;V. Crespo;J. B. Justo;a2600;0;0;3;0;0;0;0;4
472;V. Crespo;J. B. Justo;a3000;0;0;3;0;0;0;0;4
491;V. Crespo;Gurruchaga;a0-100;0;0;2;0;0;0;0;4
473;V. Crespo;J. B. Justo;a3100;0;0;3;0;0;0;0;4
611;V. Crespo;Olaya;a1600;0;0;3;0;0;0;0;4
476;V. Crespo;Thames;a100;0;0;2;0;0;0;0;4
483;V. Crespo;Serrano;a0-100;1;1;0;0;0;0;0;4
642;V. Crespo;Murillo;a900;0;0;2;0;0;0;0;4
619;V. Crespo;Hidalgo;a1600;0;0;3;0;0;0;0;4
495;V. Crespo;Gurruchaga;a400;0;1;1;0;0;0;1;4
723;V. Crespo;Warnes;a900;0;0;2;0;0;1;0;4
585;V. Crespo;Belaustegui;a300;0;0;3;0;0;0;0;4
486;V. Crespo;Serrano;a300;1;1;0;0;0;0;0;4
529;V. Crespo;Mahatma Gandhi;a500;0;0;2;0;0;0;1;4
652;V. Crespo;Padilla;a1000;0;1;1;0;1;0;0;4
640;V. Crespo;Murillo;a700;0;1;1;0;0;0;0;4
478;V. Crespo;Thames;a300;0;1;1;0;0;0;1;4
633;V. Crespo;Martinez Rosas;a1000;0;0;2;0;0;0;0;4
494;V. Crespo;Gurruchaga;a300;1;1;0;0;0;0;0;4
721;V. Crespo;Warnes;a700;0;1;1;0;0;0;0;4
632;V. Crespo;Martinez Rosas;a900;0;1;1;0;0;0;0;4
471;V. Crespo;J. B. Justo;a2900;0;0;3;0;0;0;0;4
581;V. Crespo;Tres Arroyos;a100-300;0;0;2;0;0;0;0;4
578;V. Crespo;Galicia;a200;0;0;3;0;0;0;0;4
579;V. Crespo;Galicia;a300;0;0;4;0;0;0;0;4
501;V. Crespo;Acevedo;a200;1;1;0;0;0;0;0;4
577;V. Crespo;Galicia;a100;0;0;2;0;0;0;0;4
502;V. Crespo;Acevedo;a300;0;1;1;0;0;0;1;4
499;V. Crespo;Acevedo;a0-100;0;1;1;0;0;0;1;4
500;V. Crespo;Acevedo;a100;0;1;1;0;0;0;0;4
543;V. Crespo;Frias;a100;0;0;2;0;0;0;0;4
626;V. Crespo;Acoyte;a1500;0;0;2;0;0;0;0;4
513;V. Crespo;R. S. Ortiz;a0-100;0;0;2;0;0;0;0;4
639;V. Crespo;Murillo;a600;1;1;0;0;0;0;0;4
655;V. Crespo;Camargo;a200;0;1;1;0;0;0;1;4
659;V. Crespo;Camargo;a600;0;1;1;1;0;0;0;4
515;V. Crespo;R. S. Ortiz;a200;0;0;2;0;0;1;0;4
